venue,result,Home Goals,Away Goals,Away Team,Home Team
Away,W,2,0,West Ham,Manchester City
Home,W,4,0,Bournemouth,Manchester City
Away,D,3,3,Newcastle Utd,Manchester City
Home,W,4,2,Crystal Palace,Manchester City
Home,W,6,0,Nott'ham Forest,Manchester City
Away,D,1,1,Aston Villa,Manchester City
Away,W,3,0,Wolves,Manchester City
Home,W,6,3,Manchester Utd,Manchester City
Home,W,4,0,Southampton,Manchester City
Away,L,0,1,Liverpool,Manchester City
Home,W,3,1,Brighton,Manchester City
Away,W,1,0,Leicester City,Manchester City
Home,W,2,1,Fulham,Manchester City
Home,L,1,2,Brentford,Manchester City
Away,W,3,1,Leeds United,Manchester City
Home,D,1,1,Everton,Manchester City
Away,W,1,0,Chelsea,Manchester City
Away,L,1,2,Manchester Utd,Manchester City
Home,W,4,2,Tottenham,Manchester City
Home,W,3,0,Wolves,Manchester City
Away,L,0,1,Tottenham,Manchester City
Home,W,3,1,Aston Villa,Manchester City
Away,W,3,1,Arsenal,Manchester City
Away,W,2,0,Crystal Palace,Arsenal
Home,W,4,2,Leicester City,Arsenal
Away,W,3,0,Bournemouth,Arsenal
Home,W,2,1,Fulham,Arsenal
Home,W,2,1,Aston Villa,Arsenal
Away,L,1,3,Manchester Utd,Arsenal
Away,W,3,0,Brentford,Arsenal
Home,W,3,1,Tottenham,Arsenal
Home,W,3,2,Liverpool,Arsenal
Away,W,1,0,Leeds United,Arsenal
Away,D,1,1,Southampton,Arsenal
Home,W,5,0,Nott'ham Forest,Arsenal
Away,W,1,0,Chelsea,Arsenal
Away,W,2,0,Wolves,Arsenal
Home,W,3,1,West Ham,Arsenal
Away,W,4,2,Brighton,Arsenal
Home,D,0,0,Newcastle Utd,Arsenal
Away,W,2,0,Tottenham,Arsenal
Home,W,3,2,Manchester Utd,Arsenal
Away,L,0,1,Everton,Arsenal
Home,D,1,1,Brentford,Arsenal
Home,L,1,2,Brighton,Manchester Utd
Away,L,0,4,Brentford,Manchester Utd
Home,W,2,1,Liverpool,Manchester Utd
Away,W,1,0,Southampton,Manchester Utd
Away,W,1,0,Leicester City,Manchester Utd
Home,W,3,1,Arsenal,Manchester Utd
Away,L,3,6,Manchester City,Manchester Utd
Away,W,2,1,Everton,Manchester Utd
Home,D,0,0,Newcastle Utd,Manchester Utd
Home,W,2,0,Tottenham,Manchester Utd
Away,D,1,1,Chelsea,Manchester Utd
Home,W,1,0,West Ham,Manchester Utd
Away,L,1,3,Aston Villa,Manchester Utd
